,sent_src,score_src,sum_src,sent_tgt,score_tgt,sum_tgt,score_diff,sum_diff,diff_pos
1306,"in particular , convolutional neural networks has been popular in vision and audio recognition areas .",[1 1 0 0 0],2,deep neural networks have been significantly successful in many artificial intelligence tasks such as im- age classification .,[0 1 0 0 0],1,1,1,0
1309,"deep learning and deep convolutional neural networks in particular , have recently shown impressive performance on a number of multimedia information retrieval tasks .",[0 0 1 0 0],1,"in the last decade , convolutional neural networks have shown state of the art accuracy on a variety of visual recognition tasks such as image classification .",[0 0 0 0 0],0,1,-1,2
1310,"modern deep learning models , such as convolutional neural networks , have achieved notable successes in a wide spectrum of machine learning tasks , including speech recognition .",[0 0 0 0 1],1,convolutional neural networks have surpassed many traditional machine learning approaches in solving several computer vision tasks such as classification and others .,[0 0 0 0 0],0,1,1,4
1315,"convolutional neural networks , as one of the widely used deep learning methods , have been proven to be very successful for object recognition in images .",[0 1 0 0 1],2,deep neural networks are powerful representation learning models which achieve near-human performance in image recognition tasks .,[0 1 0 0 0],1,1,1,4
1322,"since the seminal work of , convolutional neural networks have become the standard tool for image classification due to their impressive performance .",[0 1 0 0 0],1,"recently , deep convolutional neural network have received great success in image classification and so on .",[0 0 0 0 0],0,1,-1,1
1323,"among these higher-curvature theories , we take attention to gb gravity in this paper .",[0 1 0 0 0],1,"in this paper , we focus attention to the method for preparing initial data of black hole systems in gb gravity .",[0 0 0 0 0],0,1,-1,1
1324,the cosmological constant is a peculiar quantity .,[1 1 0 0 0],2,a cosmological constant is a good description of the current data .,[0 1 0 0 0],1,1,1,0
1326,the inflaton is a gauge singlet and it couples only to the radial two scalar particle species with electroweak-scale masses .,[1 1 0 0 0],2,5the scalar field yielding inflation is called the inflaton .,[0 1 0 0 0],1,1,1,0
1331,"recently , convolutional neural networks have been proved to be capable of dramatically boosting the performance of many mainstream computer vision problems .",[0 1 0 0 0],1,"recently , deep convolutional neural networks showed outstanding performance in automatic feature extraction , leading to a dramatic breakthrough in a range of fields associated with computer vision .",[0 0 0 0 0],0,1,1,1
1351,"in addition to this data we make use of the annotations provided by hariharan et al , resulting in a total of 10582 training instances .",[1 1 0 0 0],2,"the pascal voc 2012 dataset we use is augmented with extra annotation by hariharan et al , resulting in 10582 training images .",[0 1 0 0 0],1,1,1,0
1352,"convolutional neural networks have achieved great success in many fields , such as object classification , face recognition .",[0 1 0 0 0],1,convolutional neural networks have witnessed great improvement on a series of vision tasks such as object classification .,[0 0 0 0 0],0,1,-1,1
1353,"significant improvements have been obtained in various computer vision tasks by applying deep learning techniques , including image classification .",[1 1 0 0 0],2,deep neural networks have shown tremendous success in several computer vision tasks in recent years .,[0 1 0 0 0],1,1,1,0
1354,"more recently , off-the-shelf convolutional neural network representations have demonstrated great success in image retrieval .",[0 0 1 0 0],1,"recently , convolutional neural network methods demonstrated highly accurate results , especially in the field of long-term vpr .",[0 0 0 0 0],0,1,-1,2
1358,the solutions to the type of differential equations mentioned above can typically be written in terms of harmonic polylogarithms of argument x .,[1 1 1 0 0],3,"the solutions of canonical basis can be easily written down iteratively order by order in , all in terms of harmonic polylogarithms .",[1 1 0 0 0],2,1,1,2
1361,convolutional neural networks have proven to be effective feature extractors for many computer vision tasks .,[0 1 0 0 0],1,"in recent years , convolutional neural networks has achieved remarkable results in a wide range of computer vision applications .",[0 0 0 0 0],0,1,1,1
1364,the convolutional neural network in particular is a deep learning architecture which has shown its promise for image classification tasks .,[1 1 0 0 0],2,"in particular , convolutional neural networks have been very successful for image classification .",[0 1 0 0 0],1,1,1,0
1367,"it is worth noting that branes with both electric and magnetic charges may exist in any space-time with electric and magnetic branes having different dimensions , branes within branes of the type of ref .",[1 1 0 0 0],2,"note that branes with both electric and magnetic charges may exist in any space-time with electric and magnetic branes having different dimensions , branes within branes of the type of ref .",[0 1 0 0 0],1,1,1,0
1370,"at this point , we are interested to comment some consistency for the gauge invariant version of the bosonized csm .",[0 1 0 0 0],1,"in the next section , we will apply the symplectic gauge-invariant formalism in some second class constrained hamiltonian systems .",[0 0 0 0 0],0,1,1,1
1374,"introduces the convolution operation onto graph , and proposes the multi-layer graph convolution network .",[1 1 0 0 0],2,kipf et al propose the graph convolutional networks to define convolutions on the non-grid structures .,[1 0 0 0 0],1,1,-1,1
1375,the feature extraction network is composed of a fully convolutional resnet-18 architecture .,[1 1 0 0 0],2,the architecture of the landmark detection network is based on a resnet-152 model .,[0 1 0 0 0],1,1,-1,0
1378,"for this very simple strategy of x , but also for all other possible strategies total cooperation always leads to the maximum reward .",[0 0 0 1 0],1,"for this simple strategy of y , that takes no memory into account , but also for all other possible strategies of y , total cooperation always leads to the maximum reward .",[0 0 0 0 0],0,1,-1,3
1383,"at the planck scale , however , there is a precise and very specific replacement .",[1 1 0 0 0],2,the planck scale is the ultimate ultaviolet regulator .,[0 1 0 0 0],1,1,-1,0
1392,the class of iterative methods known as krylov subspace methods are often considered as the methods of choice for solving large scale linear systems due to their computational efficiency .,[1 1 1 0 0],3,"both on the academic and industrial level , krylov subspace methods are well-known as efficient solution methods for large scale linear systems in high-performance computing .",[1 1 0 0 0],2,1,1,2
1403,deep neural networks have recently been achieved breakthroughs in several domains such as computer vision .,[0 1 0 0 0],1,convolutional neural networks have achieved state-of-the-art accuracy in computer vision tasks such as image recognition .,[0 0 0 0 0],0,1,-1,1
1409,cosmic strings are stable linear defects that potentially arise in a symmetry breaking phase transition in the early universe or in brane inflation models of string theory .,[1 1 0 0 0],2,"cosmic strings are topological defects that arise during phase transitions in the early universe , and are also predicted in some models of inflation .",[1 0 0 0 0],1,1,1,1
1416,deep neural networks have been shown to be effective for solving many computer vision tasks .,[0 1 0 0 0],1,deep neural networks have significantly improved the performance of diverse data mining and computer vision applications .,[0 0 0 0 0],0,1,1,1
1423,one type of the state-of-the-art deep learning methods for object detection is r-cnn .,[1 1 1 0 0],3,the most robust methods for detecting objects are currently deep neural networks for object-detection such as r-cnns .,[1 1 0 0 0],2,1,1,2
1436,machine learning is being used in a number of essential applications such as image recognition .,[1 1 0 0 0],2,"deep learning has had a tremendous impact in several fields , such as image processing and natural language processing .",[0 1 0 0 0],1,1,1,0
1439,dft calculations based on plane-wave basis sets of 500 ev cutoff energy were performed with the vienna ab initio simulation package .,[1 1 1 0 0],3,"the spin-polarized density functional theory calculations were carried out by using the projector augmented wave method 26 , 27 as implemented in the vienna ab initio simulation package .",[1 1 0 0 0],2,1,-1,2
1448,the underlying ab initio structural relaxations were carried out using density functional theory within the perdew-burke-ernzerhof exchange-correlation as implemented in the vienna ab initio simulation package code .,[0 1 0 0 0],1,spin-polarized dft calculations used the vienna ab initio simulation package within the perdew-burke-ernzerhof form of the generalized gradient approximation .,[0 0 0 0 0],0,1,1,1
1454,"if an orbifold m is a manifold , then the above cq coincides with the group of usual q-dimensional singular chains of m .",[1 1 0 1 0],3,a smooth orbifold together with a riemannian metric is called a riemannian orbifold .,[1 1 0 0 0],2,1,-1,3
1460,"since the crystal is a semiconductor with direct bandgap , the elec tronic excited states are generated under photoexcitation .",[1 1 0 1 0],3,"the crystal was found to consist of a single ferroelectric domain in thz wave emission experiments27 , in which the orientation of the ferroelectric c axis was also determined .",[1 1 0 0 0],2,1,-1,3
1461,"nicolussi , gk , pellin , mj , lewis , rs , davis , am , amari , s .",[1 1 0 0 1],3,"savina , mr , davis , am , tripa , ce , pellin , mj , gallino , r .",[1 1 0 0 0],2,1,1,4
1466,the triplet potential vt is indicated by the thick dashed line .,[1 0 0 0 0],1,the solid line shows the many-body effects on the bound-state energy .,[0 0 0 0 0],0,1,1,0
1468,"when the markov chain is a random walk on a group , some regularity of behavior can be established .",[1 1 0 1 0],3,markov chain is defined as a process in which probability of transition from one state to another is determined only by the present state of the system .,[1 1 0 0 0],2,1,-1,3
1471,"convolutional neural network has made great success in various computer vision tasks , such as image classification , object detection and tracking .",[0 1 0 0 0],1,"recently , representation learning via deep cnns has obtained great success in various of computer vision tasks , such as image classification .",[0 0 0 0 0],0,1,-1,1
1473,"in recent years , neural networks have been effectively applied in various problems such as voice recognition .",[1 1 0 0 0],2,convolutional neural networks have recently been very successful on a variety of recognition and classification tasks .,[0 1 0 0 0],1,1,1,0
1477,"modern deep learning models , such as convolutional neural networks , have achieved notable successes in a wide spectrum of machine learning tasks , including speech recognition .",[0 0 0 0 1],1,"in particular , convolutional neural network architectures have enabled superior performance over alternative approaches in classification and pattern recognition problems in computer vision .",[0 0 0 0 0],0,1,1,4
1478,"analyzing the above presented methods to choose the boundary condition , one can realize that their essence is the continuation of some approximation , which is valid on the upper half-plane , to the lower one .",[0 0 0 1 0],1,carefully analyzing the situation one concludes that the correct condition is given by the analytical continuation of the minimal solutions from the upper half-plane to the lower one .,[0 0 0 0 0],0,1,-1,3
1479,deep convolutional neural networks have made significant breakthroughs in many visual understanding tasks including image classification .,[0 1 0 0 0],1,"deep networks have been applied to almost all computer vision tasks and have achieved state-of-the-art performances , such as image classification .",[0 0 0 0 0],0,1,1,1
1492,for a brief account on synchronizing automata and their other applications we refer the reader to .,[0 0 0 1 0],1,for a recent survey on synchronizing automata we refer the reader to .,[0 0 0 0 0],0,1,-1,3
1496,string theory is a candidate for a unified quantum theory of space-time and matter .,[1 1 0 0 0],2,"string theory is the domain of particle physicists and is predominantly used to analyze the phenomena at the highest conceivable energies , approaching or surpassing the planck energy .",[0 1 0 0 0],1,1,1,0
1506,"the algorithm can actually be applied to a wider class of problems and it is based on representing any given instance on an exponential sized network , as first suggested in .",[1 1 0 1 0],3,"the algorithm is still based on representing a given chytn instance on an exponentially sized network , as first suggested in .",[1 1 0 0 0],2,1,1,3
1513,"as a nucleon is a color singlet , any combination of quark or gluon field strength insertions in a nucleon state must itself be restricted to a color singlet combination .",[1 1 1 0 0],3,"indeed , as was already said , nucleon is a soliton of an effective meson lagrangian at large nc .",[1 1 0 0 0],2,1,1,2
1517,"these node embeddings have been used as features for various tasks on networks , such as node classification .",[1 1 0 0 0],2,"this kind of approaches has been proven successful in various applications , such as node classification .",[0 1 0 0 0],1,1,1,0
1519,this stochastic cellular automaton type of updating is not expected to affect the dynamical scaling behavior and provides a possibility for network-wise parallel algorithms .,[0 1 0 0 0],1,this sca type of synchronous updating is not expected to affect the dynamical scaling behavior and provides a possibility for parallel algorithms .,[0 0 0 0 0],0,1,1,1
1520,"deep neural networks have shown improvement in state-of-the-art in different tasks , such as image classification .",[0 1 0 0 0],1,"convolutional neural networks have achieved superior performance in many visual tasks , such as object classification and detection .",[0 0 0 0 0],0,1,-1,1
1524,"these two states are separated by an energy shift which is nonperturbative and nonanalytic in the coupling , ie vanishing to any order in perturbation theory .",[1 0 0 0 0],1,even- and odd-parity states acquire an energy separation which is nonperturbative and nonanalytic in the coupling strength and is an effect which in principle can not be derived from perturbation theory alone .,[0 0 0 0 0],0,1,1,0
1540,every convolutional layers are followed by a batch normalization layer and a relu .,[1 1 0 0 0],2,following each convolutional layer is a batch normalization layer and a rectified linear unit .,[0 1 0 0 0],1,1,-1,0
1543,the most common approach to quantifying privacy guarantees in this setting is through -differential privacy .,[1 1 1 0 0],3,differential privacy is an appealing privacy notion which provides worst-case privacy guarantees .,[1 1 0 0 0],2,1,-1,2
1545,"since the deuteron is the simplest nucleus containing a neutron , the process of pion production on the deuteron can be used for examining pion production on a neutron .",[1 1 0 1 0],3,"while the deuteron is a very dilute system , the 4he nucleus is the nucleus with largest density .",[1 1 0 0 0],2,1,-1,3
1548,the scalar-relativistic ab-initio dft calculations were performed using the projector augmented wave .,[1 1 1 0 0],3,"first-principles calculations were performed using the vienna ab initio package with the projector augmented wave method 34 , 35 .",[1 1 0 0 0],2,1,-1,2
1549,"the interest started with the seminal paper by lebowitz , rose and speer among others .",[1 1 0 0 0],2,this point of view was initiated by lebowitz-rose-speer and others .,[1 0 0 0 0],1,1,1,1
1554,"since the supergravity background of also has this symmetry , it is natural to identify the dual of this background with the baryonic branch of the cascading theory .",[1 1 0 1 0],3,"since the supergravity background of is sosymmetric , it is natural to assume that the dual of this background lies on the baryonic branch of the cascading theory .",[1 1 0 0 0],2,1,1,3
1556,"over the past few years , convolutional neural networks have become the leading approach in many vision-related tasks .",[0 1 0 0 0],1,"in the recent years , deep convolutional networks have achieved remarkable results in a wide array of computer vision tasks .",[0 0 0 0 0],0,1,-1,1
1563,the concepts of deep learning and multi-layer convolution neural network have received a wide recognition because of their demonstrated efficiency in image classification tasks .,[0 0 1 0 0],1,the potential of convolutional neural networks on images was demonstrated with its success in the imagenet classification task .,[0 0 0 0 0],0,1,-1,2
1564,"for hypermultiplets , the supersymmetry transformation rules and the fermion-terms in the lagrangian are known in general .",[1 1 1 0 0],3,"for the double-tensor multiplet lagrangian , the fermion-terms and susy rules can be determined by dualization .",[1 1 0 0 0],2,1,1,2
1567,success of convolutional neural networks over the past several years has lead to their extensive deployment in a wide range of computer vision tasks .,[0 0 1 0 0],1,deep convolutional neural networks trained using backpropagation are thus achieving record performance in a variety of large-scale machine vision tasks .,[0 0 0 0 0],0,1,1,2
1570,batch normalization is a recent breakthrough that is proven effective for preserving gradient in deep networks .,[1 1 0 0 0],2,batch renormalization has shown to improve trainability of very deep networks .,[0 1 0 0 0],1,1,-1,0
1593,our isca 2014 paper can reliably and consistently induce rowhammer errors in commodity amd and intel systems using vulnerable dram modules .,[0 0 0 0 1],1,we have also demonstrated that a very simple user-level program can reliably and consistently induce rowhammer errors in three commodity amd and intel systems using vulnerable dram modules .,[0 0 0 0 0],0,1,-1,4
1594,"for the fcn-8 , we make use of batch normalization after each layer .",[0 1 0 0 0],1,"for each layer of the mlp , we add a batch normalization layer to accelerate the training .",[0 0 0 0 0],0,1,1,1
1597,the free energy is a sensitive and complicated function in this huge conformational space with complex constraints .,[1 1 0 0 0],2,"the free energy consists of the two main contributions , the interaction energy of the collapsed h-blocks do not contribute to the total elastic energy .",[0 1 0 0 0],1,1,-1,0
1599,"the exchange correlation term was described using the gga functional proposed by perdew , burke , and ernzerhof .",[1 1 0 0 0],2,"the exchange-correlation energy was approximated by the scheme of perdew , burke , and ernzerhof .",[1 0 0 0 0],1,1,-1,1
1601,"recurrent neural networks are widely used for sequence modelling tasks in domains such as natural language processing , speech recognition , and reinforcement learning .",[1 1 0 0 0],2,"recurrent neural networks have recently shown great promise in tackling various sequence modeling tasks in machine learning , such as automatic speech recognition .",[0 1 0 0 0],1,1,1,0
1602,the perdew-burke-ernzerhof functional within the generalized gradient approximation is used for the exchange-correlation interaction between valence electrons .,[1 1 1 0 0],3,exchangecorrelation functionals were used in the perdewburke-ernzerhof form within the generalized gradient approximation .,[1 1 0 0 0],2,1,1,2
1604,thicker disks tend to have lower amplitude and more openly wound spiral density waves .,[1 1 0 0 0],2,thinner disks tend to exhibit more steeply truncated disk edges .,[0 1 0 0 0],1,1,-1,0
1606,"recently , deep convolution neural networks have been applied to solve the stereo matching problem .",[0 1 0 0 0],1,"deep convolutional neural networks have been prevailed in various computer vision tasks , such as objection classification .",[0 0 0 0 0],0,1,-1,1
1609,"if an orbifold m is a manifold , then the above cq coincides with the group of usual q-dimensional singular chains of m .",[1 1 0 1 0],3,"with a given orbifold structure , x is called an orbifold .",[1 1 0 0 0],2,1,-1,3
1616,the electrons inside the dot experience the potential energy vd .,[1 1 0 0 0],2,the potential energy felt by the electrons inside the dot is vd .,[1 0 0 0 0],1,1,-1,1
1623,then the right analogue of the fischer decomposition for the h-action reads as follows .,[1 1 1 0 0],3,the fischer decomposition for the h-action reads as follows .,[1 1 0 0 0],2,1,1,2
1627,"in recent years , there has been an explosion of deep learning models which have lead to groundbreaking results in many fields such as computer vision .",[1 1 0 0 0],2,deep neural networks have recently been achieved breakthroughs in several domains such as computer vision .,[0 1 0 0 0],1,1,-1,0
1628,"numerous quantum algorithms already exist , where many have been proven to solve certain classes of problems exponentially faster than existing algorithms for conventional computers .",[0 1 0 0 0],1,"quantum algorithms can solve certain computational problems much faster than classical computers , and most likely will be of great impact once quantum computers are available .",[0 0 0 0 0],0,1,-1,1
1635,"deep neural networks have been highly successful at recognition tasks , such as image and speech recognition , and natural language processing .",[0 1 0 0 0],1,"deep neural networks achieve excellent performance at various artificial intelligence tasks , such as speech recognition .",[0 0 0 0 0],0,1,-1,1
1637,"now the notions of s-zero divisors , s-units and s-idempotents are defined in semirings as in case of rings .",[1 1 1 0 0],3,the concept of simple and semisimple quad rings is defined in an analogous way as in case of birings .,[1 1 0 0 0],2,1,1,2
1638,"d eep neural networks have advanced to show the state-of-the-art performance in many of computer vision applications , such as image classification .",[0 1 0 0 0],1,"in recent years , deep convolutional neural networks have achieved impressive results in a number of computer vision tasks such as image classification .",[0 0 0 0 0],0,1,1,1
1639,deep neural networks have seen great success in many cognitive applications such as image classification .,[0 1 0 0 0],1,convolutional neural networks have achieved state-of-the-art performance on visual tasks such as image and video recognition in the last few years .,[0 0 0 0 0],0,1,-1,1
1653,"deep neural networks have been extensively applied in many fields , such as image recognition .",[1 1 0 0 0],2,convolutional neural networks have recently been very successful on a variety of recognition and classification tasks .,[0 1 0 0 0],1,1,-1,0
1660,machine learning has shown great success in building models for pattern recognition in domains ranging from computer vision .,[0 1 0 0 0],1,deep learning has recently vastly improved the performance of many related fields such as compute vision and speech recognition .,[0 0 0 0 0],0,1,-1,1
1665,the solution to this problem is provided by kaming he et al who proposed the deep residual learning approach .,[1 0 0 0 0],1,he et al use the residual learning framework to ease the training of networks .,[0 0 0 0 0],0,1,1,0
1671,"in the degraded relay channel , channel outputs obtained by the relay are less noisy than those obtained by the receiver .",[1 1 0 0 0],2,"conversely , in the reversely degraded relay channel , channel outputs obtained by the relay are more noisy than those obtained by the receiver .",[0 1 0 0 0],1,1,1,0
1674,the common framework for the decision making process is reinforcement learning .,[1 1 0 0 0],2,"one paradigm driving progress is deep reinforcement learning , which uses deep learning .",[0 1 0 0 0],1,1,1,0
1680,"as in the -supersymmetric gauge theory , the gauge multiplet is determined by scalar superfields .",[1 0 0 0 0],1,the so -supersymmetric gauge theory rotates both the scalars and the fermions of the gauge multiplet .,[0 0 0 0 0],0,1,1,0
1684,large and well-annotated datasets such as imagenet are considered crucial to advancing computer vision research .,[1 1 1 0 0],3,large datasets like mscoco are instrumental in promoting object detection and image captioning research .,[1 1 0 0 0],2,1,1,2
1691,"due to that the dispersion is close to zero in the main lobe of fbg reflectivity spectrum , the laser spectrum needs to be tuned to edges of the main lobe to find a minimal tds by optimizing the laser frequency detuning and the feedback strength .",[1 1 0 1 0],3,"in fbg feedback configuration , the laser frequency has to be tuned to edges of the main lobe of fbg reflection spectrum , which leads to a significant power loss in reflection , weakening the feedback strength to the semiconductor laser .",[1 1 0 0 0],2,1,1,3
1704,"recent studies that have explored attacks on automatic speech recognition systems , have demonstrated that adversarial examples exist in the audio domain .",[0 0 1 0 0],1,"recent work has shown that two speech recognition models , a convolutional neural network model trained on the speech commands dataset , are vulnerable to adversarial attacks .",[0 0 0 0 0],0,1,1,2
1705,deep convolutional neural networks have made significant breakthroughs in many visual understanding tasks including image classification .,[0 1 0 0 0],1,deep convolutional neural networks have demonstrated superior performance in various computer vision tasks .,[0 0 0 0 0],0,1,-1,1
1706,"to improve spatial coherence and quality of our saliency maps , we adopt the fully connected conditional random field method as a selective layer during the inference phase .",[0 0 0 1 0],1,"to mitigate this issue , we adopt a fully connected conditional random field in a post-processing step to enhance spatial coherence .",[0 0 0 0 0],0,1,1,3
1708,"various regularization schemes have been developed to prevent overfitting in neural networks , such as early stopping , weight decay , dropout , and dropconnect .",[0 1 0 0 0],1,"many successful applications of neural networks employ regularization techniques such as l 2 regularization , dropout to help prevent overfitting .",[0 0 0 0 0],0,1,-1,1
1710,"the long-dashed and short-dashed lines represent the pure coulomb and pure nuclear breakup contributions , respectively .",[0 0 1 0 0],1,the dashed and dotted lines represent the pure coulomb and pure nuclear contributions .,[0 0 0 0 0],0,1,-1,2
1716,the electron-ion interactions are taken into account using the projector augmented wave method .,[0 1 0 0 0],1,the electron-ion interaction is described by the projector augmented-wave method .,[0 0 0 0 0],0,1,-1,1
1721,"methods based on learning multiple levels of representation have shown to be very effective to process natural data , especially in computer vision and natural language processing .",[0 1 0 0 0],1,"recurrent neural networks have recently seen great success at modeling sequential data , especially in natural language processing tasks .",[0 0 0 0 0],0,1,1,1
1725,deep neural networks have given rise to major advancements in many problems of machine intelligence .,[0 1 0 0 0],1,"deep neural networks have delivered tremendous improvements across many machine learning tasks , ranging from computer vision .",[0 0 0 0 0],0,1,1,1
1728,"the relatively recent innovation of synthetic materials , made possible with ultra-cold atomic gases , has added a vitally important tool to study many-body physics in experimental systems .",[0 0 0 0 1],1,recent experimental progress with cold atomic gases has opened the door for realizing quantum many-body systems and simulating some of the most useful models of many-body physics .,[0 0 0 0 0],0,1,-1,4
1729,the metallicity is the best indicator for finding out which of these processes are most important .,[0 1 0 0 0],1,"this might indicate that the metallicity is the missing ingredient , to understand the formation of ulxs , although the error bars are still very large and the sample of galaxies is quite small .",[0 0 0 0 0],0,1,-1,1
1730,"data-driven approaches , in particular , deep learning with convolutional neural networks , have recently attained great success in many computer vision tasks such as image classification .",[0 0 0 0 1],1,"designing deeper and wider convolutional neural networks has led to significant breakthroughs in many machine learning tasks , such as image classification .",[0 0 0 0 0],0,1,-1,4
1736,"feedback is the most important concept in control engineering , and has a long history going back at least to the mechanical governors used to regulate the speed of steam engines .",[1 1 0 0 0],2,feedback is a ubiquitous concept in classical applications because it enables precision performance despite the presence of potentially large system uncertainty .,[0 1 0 0 0],1,1,1,0
1737,deep neural networks have been found to be quite effective for solving problems in the domain of computer vision .,[0 1 0 0 0],1,convolutional neural networks have recently achieved great success on various visual recognition tasks .,[0 0 0 0 0],0,1,1,1
1739,"of the droplet is a regular one , and the fluctuation and capillarity effects can be neglected .",[1 1 0 0 0],2,the droplet is a positive-energy state and represents the created electron .,[1 0 0 0 0],1,1,-1,1
1740,deep neural networks are being successful in accomplishing challenging tasks such as image classification .,[0 1 0 0 0],1,"with the rapid development of deep neural networks , computers now can achieve remarkable performance in many fields such as image classification .",[0 0 0 0 0],0,1,-1,1
1749,this is a tractable problem and uses the implication graph method of .,[1 0 0 0 0],1,the procedure is tractable and uses the implication graph method of .,[0 0 0 0 0],0,1,1,0
1751,"more recently , neural network methods have been applied to model natural language .",[0 1 0 0 0],1,"later , neural network approaches have greatly improved the performance of word representation learning .",[0 0 0 0 0],0,1,-1,1
1761,"several optimization-based methods have been proposed for generating adversarial examples , including fast gradient sign method , and carlini and wagner attack .",[1 1 1 0 0],3,"several methods have been proposed to generate adversarial examples with the knowledge of the gradient information of a given model , such as fast gradient sign method , which are known as white-box attacks .",[1 1 0 0 0],2,1,-1,2
1765,"along this direction , convolutional neural networks have been very successful in various computer vision and natural language processing tasks in recent years .",[0 1 0 0 0],1,d eep convolutional neural networks have gained much popularity in recent years for vision-related applications since they were shown to achieve some of the highest accuracies in image classification tasks .,[0 0 0 0 0],0,1,1,1
1776,"adversarial networks have achieved much success in various studies , especially in image and text generation .",[0 1 0 0 0],1,generative adversarial networks have attracted much research interest since its introduction among many others .,[0 0 0 0 0],0,1,1,1
1777,shokri et al propose the first membership inference attack against machine learning models .,[1 0 0 0 0],1,shokri et al present the first membership inference attack against machine learning models .,[0 0 0 0 0],0,1,1,0
1779,this follows immediately from the parity formulas for the bessel functions .,[1 1 0 0 0],2,we make use of the formula for the i-and k-bessel functions .,[0 1 0 0 0],1,1,-1,0
1782,it is shown in that l is also a first order nonnegative self-adjoint elliptic pseudodifferential operator .,[1 1 0 0 0],2,"moreover , it was shown in , the dirichlet-to-neumann map is a nonnegative self-adjoint first order elliptic pseudo differential operator .",[0 1 0 0 0],1,1,-1,0
1785,the nuclear norm is essentially an l 1 -norm of the singular values and it is well known that l 1 -norm has a shrinkage effect and leads to a biased estimator .,[1 1 0 0 0],2,the nuclear norm is essentially an 1 norm of the singular values and it is well known that 1 norm has a shrinkage effect and leads to a biased estimator .,[0 1 0 0 0],1,1,-1,0
1786,"variational autoencoders are a fascinating facet of autoencoders , supporting , among other things , random generation of new data samples .",[1 1 0 0 0],2,variational autoencoders are a powerful deep generative framework to capture latent structure in complex data .,[0 1 0 0 0],1,1,-1,0
1788,"string theory is a promising candidate for a fundamental theory , but there are significant obstacles to deriving convincing models of inflation from string theory .",[1 1 0 0 0],2,"string theory is a top-to-bottom approach to quantum supergravity in that it postulates a new object , the string , from which classical supergravity emerges as a low energy limit .",[0 1 0 0 0],1,1,1,0
1792,"unfortunately , constructing such a coupling to a matter field generically re-introduces the bd ghost already at the classical level .",[1 1 1 0 0],3,"however , as shown in minimally coupling the matter sector to more than one metric generically introduces the propagation of ghost-like degrees of freedom already at the classical level .",[1 1 0 0 0],2,1,-1,2
1801,"then the above geometry is the full geometry rather than just the pointwise geometry , since the geometry is the same at each point .",[1 1 0 0 0],2,the geometry we adopt ( fig 4 is the same as the one adopted by tbb6 .,[0 1 0 0 0],1,1,-1,0
1807,"in , an ap-proximation algorithm for the three-dimensional bin packing problems is proposed and the performance is investigated .",[1 1 1 0 0],3,"in , the variablesized online bin packing problem is studied and a new algorithm is proposed and its upper bound is analyzed .",[1 1 0 0 0],2,1,-1,2
1815,heterogeneous information network has been extensively studied as a powerful and effective paradigm to model networked data with rich and informative type information .,[1 1 0 0 0],2,heterogeneous information network has been heavily studied for its ubiquity in real-world scenarios and its ability to encapsulate rich information .,[0 1 0 0 0],1,1,-1,0
1827,"motivated by the overwhelming success of convolutional neural networks , we adopt a similar architecture .",[0 0 0 1 0],1,in this work we use convolutional neural networks motivated by the recent success of deep neural networks .,[0 0 0 0 0],0,1,-1,3
1828,"in order to compare these theoretical predictions with observational data , we employ a monte carlo markov chain analysis via the publicly available package cosmomc .",[0 0 0 1 0],1,we have then extracted cosmological parameters from current data using a monte carlo markov chain analysis based on the publicly available mcmc package cosmomc .,[0 0 0 0 0],0,1,1,3
1829,the adaptive construction method works well for reducing correlations between the sampled data .,[0 1 0 0 0],1,the numerical results show that the adaptive construction method significantly reduces the correlations between the sampled data .,[0 0 0 0 0],0,1,-1,1
1835,"as the fabrication of an array of detectors is demanding , experiments using integrating line detectors are often carried out using a single line detector , scanned on circular paths using scanning stages , which is very time consuming .",[0 1 0 1 0],2,"as the fabrication of an array of parallel line detectors is demanding , most experiments using integrating line detectors have been carried out using a single line detector , scanned on circular paths using scanning stages .",[0 0 0 1 0],1,1,1,1
1839,"in , achievable rate regions for the cc-ifc that consist of the non-cooperative causal transmission protocols have been characterized .",[1 1 1 0 0],3,"in , achievable rate regions for the cc-ifc that consist of non-cooperative causal transmission protocols have been characterized .",[0 1 1 0 0],2,1,1,0
1844,"deep learning has achieved significant successes in prediction performance by learning latent representations from data-rich applications such as speech recognition , text understanding , and image recognition .",[1 0 0 0 0],1,"in recent years , deep convolution neural networks have achieved promising performance on many artificial intelligence tasks , including image recognition .",[0 0 0 0 0],0,1,-1,0
1847,"random walk is a discrete time process with independent increments , and again a random walk under time reversal .",[1 1 0 0 0],2,"a random walk is a special case of a discrete time markov process , but does not have a stationary distribution 1 queueing model is a system to transform an arrival stream to a departure stream .",[0 1 0 0 0],1,1,-1,0
1858,"specifically , finn et al presented a model-agnostic meta-learner , maml , to optimize the initialization of a learning model with the objective of maximizing its performance on a new task after updating its parameters with a small number of samples .",[1 0 0 0 0],1,"for example , finn et al presented model-agnostic meta-learning to optimize the parameters of a meta-learner with the objective of maximizing its performance on a new task after a small number of gradient steps .",[0 0 0 0 0],0,1,1,0
1859,the pileup contribution is estimated and subtracted from the jet energy using the jet area method on an event-by-event basis .,[1 1 0 0 0],2,an average contribution of pileup interactions is estimated and subsequently subtracted from the jet energy .,[0 1 0 0 0],1,1,-1,0
